Name,Age,Age Group,Country,Handedness,Home Location Type,Sleep,Sleep Group,Tertiary Qualifications,Car,Registration Date,Weight Time 1,Weight Time 2
Elizabeth Stone,56,50 to <60,USA,Right,Town,9.0,9+ hours,Undergraduate,Tesla,2031-09-01,93.69,98.6702142161076
Sarah Smith,38,30 to <40,South Korea,Left,City,6.0,Under 7 hours,No Qualifications,BMW,2031-02-01,96.05,109.518976388785
Matthew Nelson,50,50 to <60,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Mercedes,2030-10-01,94.32,104.271783447755
Aaron Tate,61,60 to <70,USA,Right,Town,8.5,7 to <9 hours,Undergraduate,Toyota,2031-11-01,92.74,101.481535922226
Laura Frazier,11,<20,Denmark,Right,City,9.5,9+ hours,No Qualifications,Mazda,2031-12-01,77.02,79.9885302141553
Joann Scott,97,80+,Denmark,Right,Rural,6.5,Under 7 hours,No Qualifications,Mazda,2032-12-01,93.89,94.4955881264395
Connie Williams,75,70 to <80,South Korea,Right,City,5.5,Under 7 hours,No Qualifications,Mitsubishi,2030-09-01,93.28,102.047126109382
Linda Clark,39,30 to <40,USA,Right,City,7.5,7 to <9 hours,Undergraduate,Volkswagen,2032-06-01,89.49,93.0930173327763
Joshua Brown,75,70 to <80,USA,Left,Rural,8.0,7 to <9 hours,No Qualifications,Nissan,2032-02-01,97.37,105.806661175147
Joshua Long,20,20 to <30,Denmark,Right,Rural,10.0,9+ hours,No Qualifications,Mitsubishi,2032-06-01,86.89,90.86177374912
Martin Stewart,64,60 to <70,Denmark,Ambidextrous,Town,7.5,7 to <9 hours,No Qualifications,Jaguar,2032-06-01,98.27,106.053687832049
Christopher Sullivan,54,50 to <60,USA,Right,City,9.5,9+ hours,No Qualifications,Mercedes,2031-06-01,95.61,109.327492958541
Noah Erickson,10,<20,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Kia,2032-07-01,75.62,81.5978454764806
Mrs. Crystal Mckay DVM,66,60 to <70,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Nissan,2031-01-01,95.2,93.944896276799
Tanya White,15,<20,NZ,Left,City,10.0,9+ hours,No Qualifications,Citroën,2031-03-01,84.34,84.6017972199561
Michael Knight,11,<20,USA,Right,City,6.5,Under 7 hours,No Qualifications,Volkswagen,2032-01-01,76.85,77.6988170030875
Bradley Flores,56,50 to <60,South Korea,Right,City,6.0,Under 7 hours,Postgraduate,Aston Martin,2031-10-01,97.16,97.7083688851058
Christopher Butler,65,60 to <70,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Mitsubishi,2032-01-01,95.8,102.203946240476
Mr. Robert Cooper Jr.,29,20 to <30,South Korea,Left,Rural,7.5,7 to <9 hours,No Qualifications,Mitsubishi,2030-10-01,90.65,101.121838451773
Michael White,33,30 to <40,USA,Right,Rural,7.0,7 to <9 hours,No Qualifications,Mini,2031-01-01,86.63,88.402081317583
Douglas Howell,74,70 to <80,Denmark,Right,City,5.0,Under 7 hours,No Qualifications,Mini,2031-08-01,92.95,102.286143472392
Christine Rodriguez,26,20 to <30,Denmark,Right,City,8.0,7 to <9 hours,No Qualifications,Jaguar,2031-07-01,93.33,101.879325402904
Robert Dean,29,20 to <30,USA,Right,Rural,10.0,9+ hours,No Qualifications,Toyota,2030-10-01,91.62,95.9254240621666
Peter Guerrero,64,60 to <70,NZ,Right,Town,7.5,7 to <9 hours,No Qualifications,Mini,2032-04-01,98.86,107.796480507547
Harry Davis,41,40 to <50,USA,Right,Town,11.5,9+ hours,No Qualifications,Hyundai,2032-12-01,92.81,92.7616757278757
Debra Williams,58,50 to <60,Denmark,Right,City,8.0,7 to <9 hours,Undergraduate,Tesla,2031-05-01,98.98,91.0836812023135
Mercedes James,25,20 to <30,South Korea,Left,City,7.5,7 to <9 hours,Postgraduate,Mazda,2031-04-01,95.89,102.276245261403
Louis Kirby,58,50 to <60,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Honda,2031-12-01,100.48,110.356708584495
Michelle Smith,21,20 to <30,NZ,Right,Town,7.0,7 to <9 hours,Undergraduate,Volkswagen,2031-05-01,87.93,95.9614589382721
Michael Spencer,77,70 to <80,Denmark,Left,City,7.0,7 to <9 hours,No Qualifications,Tesla,2032-02-01,98.57,107.489463489547
Justin Hinton,16,<20,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Nissan,2032-02-01,86.66,97.3711941803633
Todd Mcneil,52,50 to <60,Denmark,Right,Rural,6.0,Under 7 hours,Undergraduate,Fiat,2030-04-01,95.94,103.078907818006
Nichole Buchanan,30,30 to <40,USA,Ambidextrous,Rural,10.0,9+ hours,No Qualifications,Mazda,2030-04-01,90.26,94.6973510793179
Walter Dixon,84,80+,South Korea,Right,City,5.0,Under 7 hours,No Qualifications,Peugeot,2031-11-01,95.24,96.2648921649809
Curtis Rodriguez,46,40 to <50,South Korea,Left,Rural,7.0,7 to <9 hours,No Qualifications,Fiat,2031-02-01,97.41,100.653264856327
Jacob Parker,65,60 to <70,USA,Ambidextrous,Rural,7.0,7 to <9 hours,Undergraduate,Toyota,2031-06-01,97.0,94.2628594403618
Wendy Nichols,8,<20,USA,Right,Rural,9.0,9+ hours,No Qualifications,Nissan,2032-08-01,72.03,69.184623995119
Craig Henderson,33,30 to <40,USA,Right,City,6.5,Under 7 hours,No Qualifications,Kia,2030-10-01,93.17,96.6406446135744
Jacqueline Collins DDS,44,40 to <50,Denmark,Left,City,7.0,7 to <9 hours,No Qualifications,Peugeot,2032-01-01,96.75,106.215223874674
Kathryn Miller,28,20 to <30,USA,Right,City,6.5,Under 7 hours,Postgraduate,Suzuki,2030-04-01,98.26,97.4558845239964
Abigail Duncan,17,<20,NZ,Right,Rural,8.5,7 to <9 hours,No Qualifications,BMW,2032-11-01,89.84,93.7443153098916
David Burke,38,30 to <40,NZ,Left,City,7.5,7 to <9 hours,No Qualifications,Tesla,2032-12-01,95.65,93.9700581638378
Sarah Stafford,84,80+,USA,Ambidextrous,City,10.0,9+ hours,No Qualifications,Toyota,2030-02-01,94.33,110.147329089042
Kayla Hill,52,50 to <60,South Korea,Right,City,5.5,Under 7 hours,No Qualifications,Kia,2032-06-01,97.59,99.5707166820045
James Ford,52,50 to <60,NZ,Right,City,8.0,7 to <9 hours,No Qualifications,Hyundai,2032-09-01,96.46,98.5626504829513
Leah Carlson,10,<20,South Korea,Right,Rural,8.5,7 to <9 hours,No Qualifications,Volkswagen,2031-03-01,76.79,81.8248262095011
Calvin Walker,10,<20,NZ,Left,Town,10.0,9+ hours,No Qualifications,Mazda,2031-01-01,78.47,80.0471041844403
Larry Howard,40,40 to <50,Denmark,Right,Town,8.5,7 to <9 hours,No Qualifications,Tesla,2030-04-01,91.66,98.4503175491905
Nathan Reid,72,70 to <80,South Korea,Left,Town,6.5,Under 7 hours,Undergraduate,Tesla,2031-04-01,98.0,101.600100331495
Kathryn Smith,14,<20,South Korea,Right,Town,9.5,9+ hours,No Qualifications,Peugeot,2031-10-01,80.11,82.3223320218088
Andrea Moore,20,20 to <30,USA,Right,City,5.0,Under 7 hours,No Qualifications,Tesla,2030-11-01,93.4,96.3809716664468
Isaac Patterson,28,20 to <30,USA,Right,City,6.5,Under 7 hours,No Qualifications,BMW,2032-02-01,92.59,93.8498054503827
Charles Montgomery,79,70 to <80,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Peugeot,2032-06-01,97.61,85.654955461683
Rebecca Kelley,17,<20,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Renault,2030-03-01,90.16,101.227930845591
Victor Carr,45,40 to <50,South Korea,Right,City,11.0,9+ hours,No Qualifications,Toyota,2032-03-01,93.77,102.720976047857
Erika Fleming,82,80+,USA,Right,City,5.5,Under 7 hours,Undergraduate,Audi,2030-10-01,99.37,112.365965891629
Michele Harris,48,40 to <50,USA,Right,Rural,7.5,7 to <9 hours,No Qualifications,Mini,2032-12-01,94.4,102.231351346671
Brad Taylor,26,20 to <30,USA,Ambidextrous,Town,9.0,9+ hours,Postgraduate,Mitsubishi,2031-01-01,93.85,110.298306756399
Rebecca Dalton,47,40 to <50,Denmark,Right,Rural,8.5,7 to <9 hours,No Qualifications,Mitsubishi,2030-01-01,88.36,91.0178645934032
Bobby Peterson,27,20 to <30,NZ,Left,Town,7.0,7 to <9 hours,No Qualifications,Kia,2031-01-01,90.09,95.3649082488797
Michael Daniels,59,50 to <60,Denmark,Left,City,5.5,Under 7 hours,No Qualifications,Kia,2031-08-01,94.46,97.4108243186869
James Cook,66,60 to <70,South Korea,Left,City,8.0,7 to <9 hours,No Qualifications,Toyota,2032-07-01,95.17,107.878815175225
Alex Bonilla,39,30 to <40,USA,Ambidextrous,City,8.0,7 to <9 hours,Postgraduate,Audi,2030-04-01,91.23,88.4716714016518
Sherry Russo,53,50 to <60,USA,Right,City,5.5,Under 7 hours,No Qualifications,Toyota,2030-09-01,93.48,96.0878979372392
Kathleen Kaufman,56,50 to <60,Denmark,Right,City,6.0,Under 7 hours,Postgraduate,Citroën,2031-03-01,95.52,106.2548070434
Maria Stephens,43,40 to <50,Denmark,Right,Rural,7.5,7 to <9 hours,Undergraduate,Audi,2032-07-01,93.8,96.8569722783178
Briana Jordan,12,<20,NZ,Right,Rural,5.0,Under 7 hours,No Qualifications,Suzuki,2031-06-01,79.73,86.0256787383017
Kathryn Bradford,54,50 to <60,NZ,Right,City,7.0,7 to <9 hours,No Qualifications,Peugeot,2030-09-01,96.26,95.1878920782454
Melanie Russell,93,80+,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Toyota,2031-12-01,92.38,93.0472818206262
Steven Lewis,13,<20,South Korea,Left,Rural,11.5,9+ hours,No Qualifications,Volkswagen,2031-10-01,83.04,92.4736207146751
Mark Hernandez,30,30 to <40,USA,Right,City,6.0,Under 7 hours,No Qualifications,Nissan,2031-09-01,98.2,93.0435257144996
Daniel Schmitt,86,80+,Denmark,Left,City,8.5,7 to <9 hours,Undergraduate,Hyundai,2030-09-01,96.65,94.1804294685916
Brittany Rowe DVM,16,<20,NZ,Right,Town,9.0,9+ hours,No Qualifications,Tesla,2030-11-01,84.83,86.0042520753646
Cindy Mendez,23,20 to <30,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Volkswagen,2031-02-01,91.33,94.7404489973996
Micheal Calhoun,82,80+,USA,Left,City,9.5,9+ hours,No Qualifications,Volkswagen,2030-02-01,92.93,94.7010337720999
Zachary Snyder,84,80+,USA,Right,Rural,6.5,Under 7 hours,No Qualifications,BMW,2030-03-01,95.32,114.278041669594
Bethany Cunningham,68,60 to <70,NZ,Right,Rural,7.5,7 to <9 hours,No Qualifications,Mitsubishi,2032-10-01,95.66,95.2527427159543
Rebecca Richardson,27,20 to <30,USA,Left,Rural,8.0,7 to <9 hours,Postgraduate,Mini,2032-05-01,90.82,96.581073336412
Karen Harrison,95,80+,NZ,Right,Town,7.0,7 to <9 hours,No Qualifications,Toyota,2031-11-01,91.41,93.8600530977327
Jo Velasquez,19,<20,South Korea,Right,Rural,8.0,7 to <9 hours,No Qualifications,Fiat,2032-07-01,91.99,100.364132427321
Mr. Joseph Price,81,80+,USA,Left,Rural,7.0,7 to <9 hours,Undergraduate,Volkswagen,2031-08-01,92.81,99.3353353064663
Sarah Washington,49,40 to <50,NZ,Ambidextrous,Rural,8.0,7 to <9 hours,No Qualifications,Peugeot,2031-02-01,98.73,103.922813941067
Timothy Rosales,22,20 to <30,NZ,Ambidextrous,Rural,6.5,Under 7 hours,Undergraduate,Suzuki,2031-06-01,90.17,88.1646289749901
Stephanie Cook,27,20 to <30,USA,Right,Rural,6.5,Under 7 hours,Undergraduate,Mercedes,2032-03-01,93.32,93.1825136440992
John Camacho,21,20 to <30,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Suzuki,2030-04-01,93.26,101.913200295935
Jose Yoder,23,20 to <30,USA,Right,Rural,7.0,7 to <9 hours,No Qualifications,Tesla,2031-06-01,91.2,84.2122033040319
William Orozco,39,30 to <40,USA,Left,City,6.0,Under 7 hours,No Qualifications,Tesla,2031-06-01,93.15,93.3679599865514
Tiffany Page,81,80+,South Korea,Right,Rural,5.5,Under 7 hours,Undergraduate,Mercedes,2032-02-01,96.41,91.8459484013367
Christine Hall,51,50 to <60,Denmark,Right,Town,8.0,7 to <9 hours,No Qualifications,Toyota,2031-04-01,95.88,94.5142994248725
Miranda Moore,29,20 to <30,USA,Right,City,10.0,9+ hours,No Qualifications,Mazda,2032-08-01,96.61,100.516069916087
Casey Bartlett,35,30 to <40,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Kia,2030-09-01,91.64,100.238730887246
Richard Sullivan,93,80+,South Korea,Right,Town,7.0,7 to <9 hours,No Qualifications,Toyota,2032-07-01,96.86,100.571350625457
Shawn Green,79,70 to <80,USA,Left,City,8.5,7 to <9 hours,No Qualifications,Honda,2031-03-01,99.47,105.57582125297
Ashley King,47,40 to <50,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Tesla,2031-12-01,96.0,81.8744053200172
Bruce Phillips,53,50 to <60,NZ,Right,Town,8.5,7 to <9 hours,Undergraduate,BMW,2031-07-01,100.36,85.0805100804686
Richard Mathews,42,40 to <50,South Korea,Right,City,10.0,9+ hours,No Qualifications,Renault,2030-02-01,91.36,97.3654113494367
Frank Bryant,58,50 to <60,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Renault,2031-03-01,96.08,100.524384332588
Jeffrey Henderson,48,40 to <50,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Kia,2032-10-01,92.18,95.7221367745195
Lisa Dean,29,20 to <30,South Korea,Left,Town,9.5,9+ hours,Undergraduate,Citroën,2032-02-01,90.5,99.3621708130538
Kimberly Wilson,47,40 to <50,Denmark,Right,City,8.0,7 to <9 hours,Undergraduate,Tesla,2030-02-01,89.64,96.7537542533396
Margaret Jones,50,50 to <60,South Korea,Right,Rural,7.0,7 to <9 hours,Undergraduate,Honda,2031-12-01,92.86,97.2686604479497
Tammy Gibbs,38,30 to <40,USA,Right,Town,12.0,9+ hours,No Qualifications,Toyota,2031-02-01,90.9,95.8554870169758
Natalie Willis,87,80+,Denmark,Right,Town,7.0,7 to <9 hours,No Qualifications,Nissan,2031-01-01,98.33,107.933423212398
Mrs. Pamela Garner,98,80+,Denmark,Right,Rural,10.0,9+ hours,No Qualifications,Mini,2031-06-01,98.11,113.965770657169
James Frank,35,30 to <40,South Korea,Right,Town,8.5,7 to <9 hours,No Qualifications,Nissan,2032-01-01,90.37,89.5404450825142
Charles Delgado,85,80+,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Renault,2032-06-01,93.59,102.792584372025
Sandra Garcia,46,40 to <50,NZ,Right,City,6.5,Under 7 hours,No Qualifications,Honda,2032-01-01,90.41,99.9956927939771
Raymond Hardin,18,<20,USA,Right,Town,9.5,9+ hours,No Qualifications,Volkswagen,2032-10-01,91.31,87.5772050343163
Joshua Miranda,64,60 to <70,USA,Right,Town,5.5,Under 7 hours,No Qualifications,Peugeot,2032-08-01,95.99,102.632260974014
Lisa Rivera,36,30 to <40,NZ,Right,Town,6.0,Under 7 hours,No Qualifications,Nissan,2030-10-01,89.5,105.187693190453
Timothy Smith,57,50 to <60,NZ,Right,Rural,8.5,7 to <9 hours,No Qualifications,Audi,2032-12-01,96.73,95.7096313136908
Monica Miller,31,30 to <40,USA,Right,City,6.5,Under 7 hours,No Qualifications,Mazda,2031-11-01,93.97,107.047948373155
Steven Gardner,19,<20,South Korea,Right,City,7.0,7 to <9 hours,No Qualifications,Hyundai,2032-12-01,93.07,93.3226089395409
Daniel Parrish,43,40 to <50,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Tesla,2030-02-01,94.61,85.6004543119151
Adam Pham,18,<20,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Mazda,2032-03-01,89.96,87.8714634706826
Jason Murray,39,30 to <40,USA,Left,Town,8.0,7 to <9 hours,No Qualifications,Hyundai,2030-02-01,96.23,95.9959625057514
Rebecca Davis,49,40 to <50,USA,Right,Rural,6.0,Under 7 hours,No Qualifications,Mazda,2032-09-01,92.72,97.4453119460194
Colleen Sanchez,47,40 to <50,South Korea,Right,City,7.0,7 to <9 hours,Undergraduate,Mercedes,2031-01-01,94.56,96.4725598008647
Tina Torres,54,50 to <60,NZ,Right,Town,7.0,7 to <9 hours,No Qualifications,Citroën,2032-09-01,100.7,106.340950329543
Rachael Hampton,17,<20,Denmark,Right,City,10.0,9+ hours,No Qualifications,Suzuki,2032-08-01,86.83,100.258727428395
Nicholas Huang,39,30 to <40,Denmark,Right,Rural,8.0,7 to <9 hours,No Qualifications,Hyundai,2030-10-01,94.93,91.4047089286502
Aimee Johnson,76,70 to <80,USA,Right,City,5.0,Under 7 hours,No Qualifications,Mitsubishi,2031-07-01,95.81,94.8557675630717
Janice Duke,13,<20,NZ,Right,Rural,8.5,7 to <9 hours,No Qualifications,Citroën,2031-03-01,74.08,79.9899323959669
Jeremy Phillips,52,50 to <60,South Korea,Left,Town,9.5,9+ hours,No Qualifications,Volkswagen,2030-11-01,98.37,103.149247132153
Breanna Smith,32,30 to <40,Denmark,Right,City,6.0,Under 7 hours,No Qualifications,Mazda,2031-11-01,92.17,108.437654538599
Linda Reid,27,20 to <30,USA,Left,Town,10.0,9+ hours,No Qualifications,Toyota,2031-10-01,93.76,97.4673238286468
Steven Pennington,50,50 to <60,NZ,Right,Town,10.5,9+ hours,No Qualifications,Fiat,2031-03-01,96.01,86.9380075910319
Gabrielle Hicks,47,40 to <50,USA,Right,City,6.5,Under 7 hours,No Qualifications,Mitsubishi,2031-04-01,94.36,93.3075507442819
Christopher Smith,74,70 to <80,USA,Right,Rural,7.0,7 to <9 hours,No Qualifications,Citroën,2030-01-01,100.26,110.522421907206
Jessica Brown,35,30 to <40,USA,Right,City,5.0,Under 7 hours,Undergraduate,Volkswagen,2031-11-01,91.7,104.297989813821
Christopher Nichols,20,20 to <30,South Korea,Ambidextrous,City,6.5,Under 7 hours,No Qualifications,Suzuki,2031-04-01,95.56,95.1022077275489
Douglas Thomas,67,60 to <70,USA,Right,City,6.0,Under 7 hours,No Qualifications,Jaguar,2030-02-01,96.61,97.0125441738951
Scott Nicholson,14,<20,NZ,Left,City,8.5,7 to <9 hours,No Qualifications,Mercedes,2031-03-01,82.11,88.112824642635
Danielle Bryan,30,30 to <40,USA,Right,City,5.0,Under 7 hours,Postgraduate,Jaguar,2032-06-01,93.97,100.904104732007
Brian White,23,20 to <30,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Mini,2030-03-01,88.31,99.4065193133237
Dana Miller,86,80+,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Volkswagen,2030-10-01,94.4,109.750470896643
Colleen Gallagher,78,70 to <80,South Korea,Ambidextrous,Town,6.5,Under 7 hours,No Qualifications,Mini,2031-05-01,100.08,104.901375291848
Robert Martin,31,30 to <40,Denmark,Left,City,7.0,7 to <9 hours,Undergraduate,Honda,2031-01-01,94.2,91.1010196428368
Patricia Norman,46,40 to <50,USA,Right,City,7.0,7 to <9 hours,Undergraduate,Nissan,2031-08-01,100.96,108.118171945397
John Watkins,33,30 to <40,Denmark,Right,City,5.0,Under 7 hours,No Qualifications,Maserati,2031-01-01,91.11,94.4197305266244
Donald Sanders,96,80+,USA,Right,City,9.5,9+ hours,No Qualifications,Fiat,2030-04-01,100.69,106.173373468035
Melissa Wilkerson MD,72,70 to <80,South Korea,Left,City,4.0,Under 7 hours,Undergraduate,Mini,2031-02-01,96.42,99.3515874640805
Jay Bates,18,<20,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Toyota,2031-01-01,91.5,104.794845141072
Courtney Johnson,92,80+,Denmark,Right,Town,7.5,7 to <9 hours,No Qualifications,Honda,2031-04-01,98.28,90.0316634324863
Sheri Henderson,10,<20,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Tesla,2030-02-01,78.55,77.2720433484245
Dr. Lucas Peters PhD,60,60 to <70,South Korea,Right,City,7.0,7 to <9 hours,Postgraduate,Tesla,2031-02-01,94.79,90.0664630400394
Johnathan Stone,11,<20,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Renault,2031-04-01,81.31,81.9266352459414
Jeffrey Steele,82,80+,USA,Right,City,6.0,Under 7 hours,No Qualifications,Mitsubishi,2031-08-01,94.72,103.319717599677
Adam Barnett,24,20 to <30,NZ,Right,Town,7.5,7 to <9 hours,No Qualifications,Tesla,2032-05-01,92.23,103.670955015465
Elizabeth Hopkins,34,30 to <40,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Tesla,2031-02-01,95.99,104.642494484018
Kristopher Campbell,38,30 to <40,South Korea,Right,Rural,5.5,Under 7 hours,No Qualifications,Mazda,2032-11-01,91.68,92.7201204092363
Karen Lewis,59,50 to <60,South Korea,Right,City,8.5,7 to <9 hours,No Qualifications,Toyota,2032-07-01,90.16,90.0317023673573
Amanda Carter DVM,8,<20,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Nissan,2030-04-01,68.13,71.0299905095557
Tyler James,57,50 to <60,Denmark,Right,City,8.5,7 to <9 hours,No Qualifications,Toyota,2032-11-01,92.62,78.4267100104158
Amanda Delgado,34,30 to <40,South Korea,Right,Town,9.5,9+ hours,No Qualifications,Toyota,2032-12-01,92.89,93.2417319777273
Roger Hughes,72,70 to <80,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Volkswagen,2030-10-01,97.55,94.3542001303503
Tracy Marquez,10,<20,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Mazda,2031-05-01,76.4,77.9209231810724
Julie Santos,46,40 to <50,South Korea,Left,City,9.0,9+ hours,No Qualifications,Suzuki,2030-09-01,95.39,97.8856491055403
Kimberly Pham,73,70 to <80,NZ,Right,City,5.5,Under 7 hours,No Qualifications,Toyota,2032-09-01,98.73,99.6341229675166
Chad Richmond,36,30 to <40,South Korea,Right,Town,6.0,Under 7 hours,No Qualifications,Mazda,2031-01-01,98.77,107.676576214679
Michael Rodriguez,8,<20,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Mini,2031-05-01,72.76,66.5204828935768
Nathan Gilbert,12,<20,South Korea,Right,City,8.0,7 to <9 hours,No Qualifications,Tesla,2032-05-01,74.98,85.9753240382943
Julie Lucero,27,20 to <30,NZ,Right,City,8.0,7 to <9 hours,Undergraduate,Volkswagen,2031-08-01,91.38,95.8781704706338
Darlene Chandler,15,<20,Denmark,Right,Rural,8.5,7 to <9 hours,No Qualifications,Honda,2030-04-01,86.82,87.3475299387758
Ashley Payne,33,30 to <40,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Mini,2030-03-01,97.11,110.5905607015
Brenda Garcia,19,<20,USA,Right,Town,9.5,9+ hours,No Qualifications,Mitsubishi,2032-04-01,92.9,105.55692868605
Kyle Stewart,80,80+,Denmark,Right,City,7.0,7 to <9 hours,Undergraduate,Tesla,2032-07-01,97.47,106.519293793373
Susan Murray MD,53,50 to <60,South Korea,Ambidextrous,City,7.0,7 to <9 hours,No Qualifications,Renault,2030-09-01,96.34,99.6467959414493
Margaret Moody,93,80+,NZ,Right,City,8.5,7 to <9 hours,No Qualifications,Peugeot,2032-10-01,98.08,105.449784658013
Brenda Smith,26,20 to <30,USA,Right,Town,8.5,7 to <9 hours,No Qualifications,Porsche,2031-07-01,87.45,96.4537645343657
William Bates,27,20 to <30,USA,Ambidextrous,City,3.5,Under 7 hours,Undergraduate,Renault,2032-05-01,101.3,110.089579343879
Kevin Matthews,31,30 to <40,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Mini,2031-02-01,86.18,88.9257964555909
Marisa Chang,23,20 to <30,Denmark,Right,Rural,7.5,7 to <9 hours,No Qualifications,Mini,2030-11-01,94.28,96.8906261827797
Meredith Ryan,46,40 to <50,South Korea,Ambidextrous,City,6.5,Under 7 hours,No Qualifications,Toyota,2032-02-01,94.57,113.739524550859
Christopher Barnes,58,50 to <60,Denmark,Right,City,7.0,7 to <9 hours,Undergraduate,Mazda,2031-09-01,96.8,100.754936085054
Jeremy Gilbert,81,80+,USA,Right,Rural,5.0,Under 7 hours,No Qualifications,Citroën,2030-09-01,101.5,118.460127500919
